Date,Open,High,Low,Close,Volume,Change
2018-12-04,5790,5800,5660,5720,390753,-0.0034843205574912606
2018-12-05,5520,5670,5510,5650,275900,-0.012237762237762184
2018-12-06,5640,5650,5430,5480,513304,-0.030088495575221197
2018-12-07,5480,5540,5460,5510,248169,0.005474452554744547
2018-12-10,5370,5470,5220,5260,428786,-0.04537205081669693
2018-12-11,5270,5330,5230,5260,203594,0.0
2018-12-12,5250,5430,5240,5420,215039,0.03041825095057038
2018-12-13,5420,5550,5380,5550,491367,0.023985239852398532
2018-12-14,5630,5630,5430,5530,436719,-0.003603603603603567
2018-12-17,5560,5600,5430,5600,232847,0.012658227848101333
2018-12-18,5550,5620,5480,5550,284140,-0.008928571428571397
2018-12-19,5550,5650,5500,5560,297357,0.0018018018018017834
2018-12-20,5540,5590,5440,5500,292961,-0.010791366906474864
2018-12-21,5500,5620,5460,5500,183591,0.0
2018-12-24,5510,5600,5410,5590,306406,0.016363636363636358
2018-12-26,5480,5580,5470,5540,282504,-0.008944543828264706
2018-12-27,5580,5630,5520,5550,324378,0.0018050541516245744
2018-12-28,5400,5420,5110,5210,1607491,-0.0612612612612613
2019-01-02,5350,5360,5120,5120,584060,-0.017274472168905985
2019-01-03,5140,5200,5030,5080,467696,-0.0078125
2019-01-04,5020,5170,5000,5170,332048,0.017716535433070835
2019-01-07,5220,5270,5170,5220,276533,0.009671179883945946
2019-01-08,5190,5250,5130,5210,364052,-0.0019157088122605526
2019-01-09,5180,5290,5180,5270,256626,0.011516314779270731
2019-01-10,5310,5330,5230,5330,241945,0.011385199240986799
2019-01-11,5350,5380,5280,5340,293884,0.0018761726078799779
2019-01-14,5360,5550,5350,5530,604596,0.035580524344569264
2019-01-15,5530,5630,5530,5600,417879,0.012658227848101333
2019-01-16,5600,5690,5580,5600,421669,0.0
2019-01-17,5660,5660,5520,5600,258909,0.0
2019-01-18,5600,5890,5600,5810,713967,0.03750000000000009
2019-01-21,5940,5940,5760,5880,534542,0.012048192771084265
2019-01-22,5850,5860,5680,5700,348818,-0.030612244897959218
2019-01-23,5640,5850,5640,5760,318778,0.010526315789473717
2019-01-24,5770,5770,5700,5750,222408,-0.0017361111111111605
2019-01-25,5750,5780,5700,5730,404297,-0.003478260869565264
2019-01-28,5670,5690,5550,5590,787220,-0.024432809773123898
2019-01-29,5600,5670,5570,5650,411551,0.01073345259391778
2019-01-30,5650,5750,5610,5730,261361,0.014159292035398341
2019-01-31,5770,5840,5660,5740,388630,0.0017452006980802626
2019-02-01,5760,5780,5670,5710,187928,-0.005226480836236891
2019-02-07,5710,5770,5650,5750,268189,0.007005253940455258
2019-02-08,5720,5730,5660,5730,243140,-0.003478260869565264
2019-02-11,5710,5750,5670,5710,213567,-0.003490401396160525
2019-02-12,5710,5750,5650,5680,239574,-0.005253940455341555
2019-02-13,5690,5910,5690,5880,717452,0.035211267605633756
2019-02-14,5920,5930,5790,5900,359682,0.00340136054421758
2019-02-15,5900,5920,5750,5790,370735,-0.01864406779661021
2019-02-18,5830,5890,5770,5850,250932,0.010362694300518172
2019-02-19,5910,5970,5840,5880,490653,0.00512820512820511
2019-02-20,5890,6060,5860,6020,899519,0.023809523809523725
2019-02-21,6030,6100,5920,5990,518824,-0.004983388704318914
2019-02-22,5990,6020,5800,5870,561576,-0.02003338898163609
2019-02-25,5900,5970,5870,5880,241391,0.0017035775127767216
2019-02-26,5960,5960,5870,5910,320624,0.005102040816326481
2019-02-27,5930,5950,5800,5900,233227,-0.0016920473773265332
2019-02-28,5930,5970,5780,5790,481774,-0.01864406779661021
2019-03-04,5820,5910,5770,5780,434915,-0.0017271157167529916
2019-03-05,5780,5910,5720,5870,326323,0.015570934256055269
2019-03-06,5900,6030,5850,6020,748877,0.02555366269165238
2019-03-07,5980,6020,5820,5900,436862,-0.019933554817275767
2019-03-08,5860,5890,5730,5780,507137,-0.02033898305084747
2019-03-11,5770,5810,5680,5770,314745,-0.0017301038062284002
2019-03-12,5830,6070,5770,5990,716652,0.03812824956672434
2019-03-13,6010,6150,5970,6080,764594,0.015025041736226985
2019-03-14,6100,6270,6090,6090,725807,0.00164473684210531
2019-03-15,6130,6150,6010,6090,475574,0.0
2019-03-18,6240,6240,6020,6020,463923,-0.011494252873563204
2019-03-19,6080,6170,6040,6040,391638,0.0033222591362125353
2019-03-20,6040,6130,5910,5970,582300,-0.011589403973509937
